latitude,longitude,id,statusdesc,typename,blight_count,housing_quality_score,structural_condition,affordability_index,maintenance_score
0.0,0.0,18,0,"{'JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY': 9, 'TALL GRASS': 8, 'PROPERTY MISSING WINDOWS OR DOORS': 1}",18,10,85.72602732455682,68.5628417236681,46
30.336,-91.134804,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,97.26380358082231,59.43454555532388,97
30.342085,-91.132805,1,0,{'TALL GRASS': 1},1,95,59.09886009082546,45.456145885876325,97
30.343891,-91.130852,1,0,{'TALL GRASS': 1},1,95,72.51781036679962,81.51618680775833,97
30.344173,-91.128525,1,0,{'TALL GRASS': 1},1,95,79.92824674262762,77.36101738564884,97
30.344225,-91.015152,2,0,{'TALL GRASS': 2},2,90,67.04731759323644,75.4725920044432,94
30.344524,-91.129318,1,0,{'TALL GRASS': 1},1,95,79.652909280052,93.00378795639641,97
30.344542,-91.131393,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,74.2809692563608,60.384588653668736,97
30.344786,-91.127884,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,90.88859893604193,80.78980807889323,97
30.344835,-91.125374,1,0,{'TALL GRASS': 1},1,95,76.71517943037713,72.75363853272073,97
30.345116,-91.125839,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,61.97168318884026,82.08753731633998,97
30.345226,-91.125969,3,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 3}",3,85,78.10984793742008,37.7947108521951,91
30.345274,-91.13237,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,74.46205586760901,60.68206123112917,97
30.345293,-91.130272,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,59.920905725719095,53.80730032780369,97
30.345316,-91.031219,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,99.66857709438729,74.77334595834593,97
30.34618,-91.060577,1,0,{'TALL GRASS': 1},1,95,89.94349805838772,34.91380879478376,97
30.346601,-91.046379,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,44.14511815619901,34.92144642607328,97
30.34687,-91.119576,1,0,"{'JUNK, INOPERABLE, OR ABANDONED VEHICLE': 1}",1,95,61.68833929346252,67.55404938775393,97
30.347076,-91.005402,1,0,{'TALL GRASS': 1},1,95,102.98064709117503,49.552304088532495,97
